Item Id,SKU,Type,Sensor Type,Brand,Features,Manufacturer,Fan Width,Color,Control Style,Installation Area,Style,Number of Blades,Material,Cord Color,Blade Color,Number of Settings,Lighting Technology,Room,Number of Speeds,Design,Finish,Product Line,Personalized,Mounting,Power Source,Light Color,Energy Star,Country/Region of Manufacture,Voltage,Assembly Required,Item Diameter,Year Manufactured,Light Direction,Pattern,Output Voltage,Amperage,Era,Labels & Certifications,Manufacturer Warranty,Color Temperature,LED Chip Code,Lumens,LED String/Strip Type,MPN,EC Range,Bundle Description,California Prop 65 Warning,Custom Bundle,IP Rating,Item Height,Item Length,Item Weight,Item Width,Model,Power Consumption,Required Tools,
"265634202933","ZX9CLFD1871","Fans","","LightitUp","","","","White","","","","","","White","White","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI1700195","","","","","","","","","","","","",
"255471814959","ZX9BCNL216","Fans","Light","Rayo","With Light","","","Black","","","","","","Black","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RA1689020","","","","","","","","","","","","",
"255474923606","ZX9CLFD1923","Fans","","LightitUp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI1702578","","","","","","","","","","","","",
"265629904189","ZX9CLFD1933","Fans","","LightitUp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI983605","","","","","","","","","","","","",
"255476754000","ZX9CLFD1936","Fans","","LightitUp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI1710357","","","","","","","","","","","","",
"255471734217","ZX9CLFD1937","Fans","","LightitUp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI1710358","","","","","","","","","","","","",
"255471806292","ZX9CLFD1938","Fans","","LightitUp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI983607","","","","","","","","","","","","",
"255476815268","ZX9ACHR149403","Fans","","BrightBomb","","","","Brown","","Indoor","Antique","","Brass","Brown","Brown","","","","","","Antique Brass","","","","","","","","","","","","","","","","","","","","","","","BR1679747","","","","","","","","","","","","",
"265629871691","CLFD268","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42FAN-MLB-NYM","","","","","","","","","","","","",
"255471763634","CLFD1872","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42FAN-NBA-ATL","","","","","","","","","","","","",
"265629922300","CLFD1873","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42FAN-NBA-BLAZ","","","","","","","","","","","","",
"265632733293","CLFD1874","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42FAN-NBA-CLIP","","","","","","","","","","","","",
"255474972584","CLFD1876","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42FAN-NBA-HOU","","","","","","","","","","","","",
"265634181188","CLFD1879","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42FAN-NBA-NET","","","","","","","","","","","","",
"265634126471","CLFD1880","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","","","42FAN-NBA-OKC","","","","","","","","","","","","",
"255476791678","CLFD1882","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42FAN-NBA-WAS","","","","","","","","","","","","",
"265629940175","CLFD240","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42FAN-NFL-NYJ","","","","","","","","","","","","",
"255476848540","CLFD259","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42FAN-NFL-SAN","","","","","","","","","","","","",
"265634205898","CLFD1928","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-NBA-ATL","","","","","","","","","","","","",
"255471770885","CLFD1930","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-NBA-CLIP","","","","","","","","","","","","",
"255476795408","CLFD1932","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-NBA-HOU","","","","","","","","","","","","",
"255474946014","CLFD1933","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-NBA-MEMP","","","","","","","","","","","","",
"265632671586","CLFD1934","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-NBA-MIA","","","","","","","","","","","","",
"255474868554","CLFD1935","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-NBA-NET","","","","","","","","","","","","",
"265632688243","CLFD1936","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","","","52FAN-NBA-OKC","","","","","","","","","","","","",
"265629925776","CLFD1937","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-NBA-SPUR","","","","","","","","","","","","",
"265629867396","CLFD1938","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-NBA-WAS","","","","","","","","","","","","",
"265634199622","CLFD761","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7995-AUB","","","","","","","","","","","","",
"265629866490","CLFD762","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7995-AZS","","","","","","","","","","","","",
"255471726139","CLFD765","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7995-CIN","","","","","","","","","","","","",
"265632719361","CLFD766","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7995-CLE","","","","","","","","","","","","",
"265632705429","CLFD769","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7995-FSU","","","","","","","","","","","","",
"265632722329","CLFD771","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7995-ILL","","","","","","","","","","","","",
"265632710009","CLFD773","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7995-IOW","","","","","","","","","","","","",
"265634161206","CLFD774","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7995-ISU","","","","","","","","","","","","",
"265629881061","CLFD777","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7995-KTY","","","","","","","","","","","","",
"255471770380","CLFD778","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7995-LOU","","","","","","","","","","","","",
"255476797047","CLFD784","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","F","","","","","","","","","","","","","","","","","7995-MST","","","","","","","","","","","","",
"265632720627","CLFD786","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7995-NEB","","","","","","","","","","","","",
"265634178002","CLFD787","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7995-OKL","","","","","","","","","","","","",
"255471735276","CLFD792","Fans","","Ceiling Fan Designers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7995-PSU","","","","","","","","","","","","",
